premise,hypothesis,label,explanation,human_explanation
A man and woman smile after being wed.,The couple smiles before leaving for their honeymoon.,1,The couple's smiles after their wedding suggest they are happy and likely excited about their upcoming honeymoon.,If you just were married you're not already on the honeymoon.
A woman wearing a money themed costume stands on the street.,The woman is celebrating Mardi Gras,1,"A woman in a money themed costume could be participating in a festive event like Mardi Gras, which often features elaborate costumes.",Money themed costume does not necessarily mean celebrating Mardi Gras.
A young boy and 2 women look out a window to construction workers.,A family watching their house being worked on.,1,"The young boy and the two women are observing the construction workers, suggesting they are likely watching work being done on their home.",The construction workers being outside don't imply that they worked on that specific house.
"The dog is wearing a red baseball cap, and has its mouth wide open.","The dog is wearing a red baseball cap, and has its big mouth wide open.",1,"The premise describes a dog with its mouth wide open, which can be interpreted as having a big mouth wide open in the hypothesis.",Not all mouths are big.
A man and woman are at a catered dinner getting food.,A girl is eating McDonald's.,2,A man and woman at a catered dinner are not necessarily eating fast food like McDonald's.,a people would either be in catered dinner or McDonald's.
The little girl doing the craft project has black hair with pigtails and is wearing a cute pink and gray striped long-sleeve top.,A little girl is making a bracelet with rubber bands.,1,The little girl engaged in a craft project could be making a bracelet with rubber bands as part of her activity.,just because the girl is doing the craft project doesn't mean she is making a bracelet with rubber bands.
A bulldozer is working on a building.,There is a yellow bulldozer.,1,"The premise describes a bulldozer working, which could imply that it is a specific type of bulldozer, potentially yellow.",Not all bulldozers are yellow.
A woman wearing hat is reading her book.,A man is reading 50 Shades of Grey.,2,A woman reading a book does not imply that a man is reading a specific title.,A woman is not a man.
A man with a hat is turned around looking at cards.,A man is looking at cards.,0,A man looking at cards is consistent with the premise of a man with a hat turned around looking at cards.,The man is looking at the cards.
A person in the snow drilling a hole in the ice.,The person is an ice fisherman.,1,A person drilling a hole in the ice is often associated with the activity of ice fishing.,Just because the person is drilling a hole in the ice does not mean this person is an ice fisherman.
A woman in sunglasses and a sunhat is in the foreground of a beautiful mountain region.,The woman is wearing a hat.,0,"The woman is described as wearing a sunhat, which qualifies as a type of hat.",In and wearing implies the same thing and a winner is a hat.
"It looked dark outside while in the empty restaurant, a young guy dressed in black sat in a booth playing the harmonica.",A man with a harmonica in his pocket is walking down the street.,2,"The young guy in the restaurant is playing the harmonica, which suggests he has a harmonica with him.",One cannot sit in a booth while walking in a street.
"Three women are dressed in African clothes, and two of them are putting on makeup.",Three models are preparing for their runway walk.,1,"The women dressed in African clothes and putting on makeup could be preparing for a fashion event, such as a runway walk.",No evidence these three women are models. They may be actors in a play. You also can't assume they are preparing for their runway walk just because they are dressed in African clothes.
Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,Kids riding in a car in a field.,2,"Kids riding bicycles near a mound of dirt suggests they are outdoors, while riding in a car implies a different mode of transportation in a different setting.",Kids can not be both riding in a car and riding on their bicycles.
A man in a suit with a briefcase checks his phone while the gray building in the background is reflected in the pool of water on the street.,A man in a suit is checking his phone to call for a cab.,1,"The man checking his phone could be looking for a cab, as it is common for people in suits to use their phones for transportation arrangements.",A man can check his phone for a reason other than to call for a cab.
A woman waiting at a train stop next to a pay phone.,A woman is waiting at a bus stop.,2,A woman waiting at a train stop does not imply she is at a bus stop.,A train stop is not a bus stop.
A girl in a polka dotted blue jean dress walks barefoot on a balance beam.,The girl is balancing.,0,The girl walking on a balance beam suggests that she is attempting to maintain her balance.,The girl is practicing balancing on a balance beam.
This man in the kayak is think this kayak is way too small for him.,A man is in a blue kayak.,1,"The premise describes a man in a kayak, but does not specify the color of the kayak.",Not all kayaks are colored blue.
A dog with no tail runs in the dirt.,The dog with the missing tail is running.,0,"The dog running in the dirt indicates that it is in motion, which aligns with the idea of the dog with the missing tail running.",The dog has no tail.
Long necked dog jumps on,The dog playing with the kid.,1,A long-necked dog could be playing with a kid while jumping around.,The first sentence didn't say the dog was playing.
Man stands outside a storefront.,a man stands outside near a building,0,A man standing outside a storefront is indeed near a building.,Man stands outside a store front implies that he is standing in front of a store. Store is a building. So it implies he is near a building.
A person in reflective gear is riding a white horse on a cobblestone city street.,A person is wearing reflective clothing.,0,A person in reflective gear indicates that they are wearing reflective clothing.,Sentence one says the person is in reflective gear Sentence two says the person is wearing reflective clothing
A man working on his art in a public setting.,A man is sleeping.,2,A man focused on his art in a public setting is unlikely to be sleeping.,Either the man is sleeping or working on hi s art in a public setting.
A woman with a young child standing in gravel and pointing at the photographer.,The photographer is holding a camera.,1,"The presence of a photographer implies that someone is capturing the moment, likely with a camera.",You can not infer there is a photographer.
A man and a girl are painting crafts at a table while a woman observes.,The man and girl jump into the lake while the woman sleeps on the shore.,2,The activities of painting crafts at a table do not imply any action related to jumping into a lake or sleeping on the shore.,The people can't be painting crafts while  they jump into the lake.
A young woman with a shave head in a brown skirt and sandals walking past a stone building.,A young woman learning to become a monk walks slowly past an ancient stone building.,1,A young woman with a shaved head may be adopting a style associated with monastic life as she walks past an ancient stone building.,Not all women with a shaved head are learning to become a monk and not all stone buildings are ancient.
A girl sits in bed reading a book.,A girl reads a book for homework while sitting on her bed.,1,"The girl is reading a book while sitting on her bed, which could imply she is doing homework.",All reading are not related to homework
Two children and a black dog are playing out in the snow.,The people are singing in a choir.,2,"The premise describes children playing in the snow, while the hypothesis involves people singing in a choir, which are unrelated activities.",Singing is not playing.
Labors are cleaning the car.,Some children are playing baseball.,2,The activities of cleaning a car and playing baseball are unrelated and occur in different contexts.,"They can either be playing baseball or cleaning, not both."
A man fishing while standing on a small boat holding a net,A man is catching dinner for his family for that day.,1,"A man fishing with a net suggests he is trying to catch fish, which could be for dinner.",A man is catching fidh for dinner
Two cheerleaders are doing leaps on a green field,Two girls are playing catch in a green field.,2,"The cheerleaders are engaged in physical activity on the field, but there is no indication that they are playing catch.",Doing leaps and playing catch are two different actions that cannot take place at the same time.
A man is lying the grass with long hair and beard.,A bearded man is outside.,0,A man with a beard is likely to be outside if he is lying in the grass.,A man outside can also be described as a bearded man.
"Several people sitting, relaxing in the snow.",Some people are laying on the beach.,2,People sitting in the snow are not likely to be laying on a beach.,The snow is not beach.
Two young men are both standing on one leg with their arms stretched out on the street.,The two young men like each other.,1,"The two young men are engaging in a playful activity, which may suggest a positive relationship between them.",Standing on one leg with another person does not insinuate that those people like each other.
"older man writing in a book, on a granite table.",A man is sitting at a table writing.,0,An older man is sitting at a granite table while writing in a book.,Man sitting is writing in a book.
A party or reunion at someones house and the people are talking.,The party has friends at it.,1,"At a party, it is common for friends to gather and engage in conversation.",You do not kow if the people at the party are friends.
A dog leaps on a man.,A man leaps on a dog.,2,A dog leaping on a man does not imply that the man is leaping on the dog.,dog leaps is overaction performed on man leaps
A group of people are listening to a man in a gray hat speak.,A man in a gray hat gives a political speech.,1,"A man in a gray hat speaking could be delivering a political message, but it is not specified in the premise.",Just because a group of people are listening to a man in a gray hat speak does not mean that he gives a political speech.
A man is seated in a chair holding a bow for his instrument in the middle of a brown floor.,Man jogging outdoors on a very sunny day.,2,A man seated indoors with a bow for his instrument is not engaged in jogging outdoors.,Seated and jogging are different.
a boy wears a red coat.,A boy wears a jacket without a coat.,2,"A boy wearing a red coat indicates that he is dressed in outerwear, which is different from wearing a jacket without a coat.",There is either a coat or a jacket.
A boy in a blue shirt and brown shorts and two women wearing colorful outfits walk down a run-down street with livestock in the background.,A boy and two women go for a walk in the country side.,0,"A boy and two women are walking together in a setting that includes livestock, suggesting they are in a rural area.",The country side is outdoors away from the city and livestock usually are in the countryside.
There are 4 women wearing pink Energizer bunny ears.,Women are wearing bunny ears to a Halloween party.,1,"The women wearing pink Energizer bunny ears could be participating in a themed event, such as a Halloween party.","People can wear bunny ears for events other than a Halloween party. They could be costumers attending a show, models hired to promote a brand, or simply people who like to wear ears."
Smiling woman holding a piece of cloth.,The woman was visually upset.,2,"A smiling woman typically conveys happiness, which contrasts with being visually upset.",One who is visually upset is not smiling simultaneously.
a dog bites a stick.,A cat jumps in a pool.,2,A dog biting a stick does not provide any information about a cat's actions or its environment.,There is either a cat or a dog.
Snowboarder in a striped shirt going off a ramp in front of a crowd.,the snowboarder is wearing a jacket.,2,"The snowboarder is described as wearing a striped shirt, which does not confirm the presence of a jacket.",Wearing a striped shirt not a jacket
"A man, seen from the back, with his head turned to the side wearing a backpack",Going on a hike.,1,"The man wearing a backpack suggests he is prepared for an outdoor activity, which often includes hiking.","A man, seen from the back, with his head turned to the side wearing a backpack doesn't imply that he is going on a hike."
A homeless man is sitting in a building.,A man is standing out on the sidewalk,2,A homeless man sitting in a building does not imply that a man is standing out on the sidewalk.,"A man cannot be sitting while also standing. If a man is standing out on the sidewalk, he cannot be in a building."
Two men writing in the sand on a rocky beach.,There are two men on a rocky beach writing notes in the sand.,0,Two men are engaged in the activity of writing in the sand on a rocky beach.,"If they are writing, it is implied they are writing notes."
A bartender wearing a hat is pouring a drink.,a bartender is working,1,A bartender pouring a drink indicates that they are actively engaged in their job.,Not all bartenders are currently working.
Two men sit on a trucks tailgate as it is being towed.,The men sit in the back of the truck as it's towed,0,"The men are positioned on the tailgate of the truck, which is located at the back of the vehicle.",The two men that sit on a truck tailgate definitely sits in the back of the truck.
"The football players are wearing red and white, and the crowd is also wearing red and white.",Many people are wearing the same colors.,0,"The football players and the crowd are both dressed in red and white, indicating that many people are wearing the same colors.","players are wearing red and white, and the crowd is also wearing red and white shows that people are wearing the same colors."
A person is standing by some stairs in colorful clothes and goggles.,A person is lighting himself on fire.,2,A person standing by stairs in colorful clothes and goggles does not imply that they are lighting themselves on fire.,"stairs means it is inside some construction or building, usually there should not be fire okay in a construction or building."
A person on a black coat walking next to a building.,A person on a coat walking next to a building.,0,A person in a black coat is still a person in a coat.,The coat is black.
Goal keeper is going to stop the ball in a soccer match,The goalkeeper saves the game,1,"The goalkeeper's action of stopping the ball is crucial for preventing the opposing team from scoring, which contributes to saving the game.","Goalkeeper in sentence 2 saves the game by managing to stop the ball, whereas in sentence 1 the goal keeper has not saved the game."
A red race car is driving on asphalt.,Race car driving on pavement.,0,"A race car is a type of vehicle that can drive on various surfaces, including asphalt and pavement.",A red race car is driving on asphalt on pavement.
Three people are looking at sculptures made of rocks located on a body of water.,Three people looking at the sky.,2,"The three people are focused on sculptures made of rocks, which is different from looking at the sky.",you cannot be looking at sculptures and at the sky at the same time
"A group of people sitting quietly on the subway, deep in thought.",A group of people enjoying the silence.,1,The quiet atmosphere of the subway allows the group of people to reflect and appreciate the stillness around them.,Not all people sitting quietly is enjoying the silence.
Man walking through large puddle of water.,A man relives his boyhood and jumps into a puddle.,1,"A man walking through a puddle may evoke memories of childhood playfulness, such as jumping into puddles.",Just because a man walks through a puddle does not mean he relives his boyhood or that he jumps into the puddle.
An older man sits at a workbench while carving his art.,Someone is composing a piece of music.,2,"An older man carving his art does not imply that someone is composing music, as the activities are unrelated.",The subject cannot sit at a workbench and be composing a piece of music simultaneously.
Curly-haired jungle man is climbing up a vine.,A woman in climbing up a vine.,2,"The premise describes a jungle man climbing a vine, while the hypothesis states that a woman is climbing up a vine, indicating a difference in the subject's identity and gender.",The person can either be a man or a woman.
"People are gathered at a platform on which stands a table of trophies with graduated boxes in front of the platform labeled 1, 2 and 3.",People are at a steeplechase race.,2,"People gathered at a platform with trophies suggests they are celebrating an event, which could be related to a race.",People who are gathered at a platform are not at a steeplechase race.
Two professional businessmen having a conversation.,Neither man speaks the same language as the other.,2,"The premise indicates that two businessmen are conversing, but it does not specify that they share a common language.",Can't have conversation if neither speaks the same language.
A musical artist is performing on stage.,There is a musician playing on stage.,0,A musical artist performing on stage implies that there is a musician actively engaged in a performance.,"A musical artist is a musician, and performing is playing."
A brown dog holding a buoy in its mouth in the water,A spotted brown dog holding an orange buoy in the ocean,1,"The premise describes a brown dog with a buoy, while the hypothesis specifies a spotted brown dog with an orange buoy, indicating that the color and pattern of the dog and buoy may differ.",Not all brown dogs are spotted. Not all buoys are orange. Just because the dog is in water doesn't mean it's the ocean.
"An older white-haired woman in a blue jacket, brown boots, with a ring on her finger looks at samples of a drink next to a sign in a different language.",the woman is nude by the beach,2,"The premise describes a woman in a blue jacket looking at drink samples, while the hypothesis suggests she is nude by the beach, which are two entirely different scenarios.",She is not nude because she is wearing a jacket and boots.
An Asian woman standing in a crowded urban area listening to music.,A woman is on a blanket in the park watching children play.,2,An Asian woman in a crowded urban area listening to music is not necessarily in a park or watching children play.,Either she is standing or she's on a blanket -- people tend to sit or lie down while on blankets.
A person wearing a blue suit with large peacock feathers is holding a microphone while standing on a stage with others who are playing musical instruments as a fog envelopes them.,One musical instrument is a guitar.,1,"The premise describes a group of people on stage playing musical instruments, which implies that various instruments, including a guitar, could be present among them.",The fact that playing musical instruments doesn't imply that one of the musical instruments is a guitar.
A young boy sits next to a wind sculpture.,A boy sits next to a statue of a dog.,2,A boy sitting next to a wind sculpture does not imply that he is next to a statue of a dog.,A wind sculpture is not the same thing as a dog statue.
Two small children are talking in a field in front of a yellow caution tape.,The small children play tag in the field.,2,"The premise describes two small children talking in a field, which suggests they are engaged in an activity that could include playing tag.",Talking is not the same as playing tag.
Male food worker grills meat on a stick.,The woman is grilling meat.,2,"The premise specifies a male food worker grilling meat, while the hypothesis incorrectly states that a woman is grilling meat.","Male is not female, female is a woman."
A black dog jumps to catch a ball in a yard.,The dog is taking a nap with a cat.,2,"A dog that is jumping to catch a ball is likely to be active and engaged, rather than napping.",It would be impossible for the dog to be jumping and taking a nap simultaneously.
"Four kids all hunched over together in a grassy field petting two turtles, one girl has colored face paint on her face.",A group of children are playing video games in the living room.,2,"The premise describes children interacting with turtles in a field, while the hypothesis suggests they are indoors playing video games, indicating a different setting and activity.",Grassy fields are not in living rooms.
A man has his hands up while standing next to another man with a drink.,The man's hands are in his pockets.,2,A man with his hands up cannot have his hands in his pockets.,hands up is contradictory to hands in pockets
Students are participating in a science class by examining objects through a microscope.,Students are surprised by looking through a microscope.,1,"Students may experience a range of emotions, including surprise, as they observe the intricate details of objects through a microscope.","Not all student are not surprised by looking through a microscope, because not all students participate in science class."
Two hockey players fall to the ground in a game.,Two people are falling,0,Two hockey players falling to the ground indicates that they are in the process of falling.,Players are falling on to the ground during the game
A man with a guitar is speaking into a microphone.,The man is using his voice.,0,The man is likely using his voice to sing or speak into the microphone while playing the guitar.,a man speaking into a microphone means the same as man is using his voice
The people are standing around at the auto show.,The people intend to purchase a car today.,1,The presence of people at the auto show suggests they may be considering purchasing a car.,The people do not necessarily intend to purchase a car.
"A young boy is walking on what seems to be a chilly day, though the path he's on seems to disappear into a sea of green grass.",The boy wears a jacket.,1,The chilly day suggests that the boy might be wearing a jacket to keep warm.,chilly doesn't always mean jacket.
A woman puts the firewood in order.,The woman sits by the warm fire.,2,"The act of putting firewood in order suggests that the woman is preparing for a fire, which could imply that she might sit by it once it is lit.",One can be either putting the firewood in order or be sitting by the fire.
Man gives an interview in a nearly empty theater.,a man speaks in a nearly empty theater.,0,A man giving an interview involves him speaking in front of an audience in a theater setting.,A man giving a interview in a empty theater is the same as speaking in a empty theater.
A man in a green vest is standing in front of water.,A man with brown pants and a green vest is standing by his bathtub.,1,"The man in the premise is described as wearing a green vest, which is also mentioned in the hypothesis, but the specific details about his pants and the location differ.",Sentence 1 is missing standing by his bathtub
An individual in blue pants is standing on a step ladder while two others look in the same direction as the man on the ladder.,A man is sitting.,2,"The premise describes an individual standing on a ladder, while the hypothesis states that a man is sitting, which is not supported by the information given.",standing and sitting are different actions
A boy on a swing wearing a green shirt is making hand gestures.,A boy is jumping from the swing.,2,A boy on a swing is not necessarily jumping from it while making hand gestures.,The boy must choose to make hand gestures or jump.
A white man is seen in a swimming pool floating above many floating devises.,The man floats in the pool with his beer.,1,"The premise describes a man floating in a pool, which does not provide any information about whether he is holding a beer or not.",Not all man floats in the pool with his beer.
"Women in headwraps are gathered together, speaking emotionally.",Women gathering together for a meeting.,1,"Women in headwraps can be seen coming together, which suggests they are participating in a gathering.",Just because gathered together does not mean for a meeting.
People on a chair lift at a snow-covered location.,People lounge on a sunny beach.,2,"People on a chair lift are enjoying a winter activity, while lounging on a sunny beach suggests a completely different setting and experience.","If people were on a chair lift, they would not be lounging.  A sunny beach is much warmer than a snow-covered location."
Sunbathers frolic on the beach under a bright sun.,sunbathers lathered themselves with sunscreen,1,Sunbathers often apply sunscreen to protect their skin from the bright sun while enjoying their time on the beach.,Just because people are on the beach doesn't mean they are using sunscreen.
A man grilling meats and mushrooms on a grill.,The man is fishing,2,A man grilling meats and mushrooms does not imply he is engaged in fishing activities.,Grilling versus fishing.
A group of bikers head out the gates in a London 2012 bike race.,The bikers are talented.,1,The bikers participating in a competitive race likely possess a high level of skill and training.,Just because the bikers are in a race does not mean that they are talented.
A man in a green shirt shops in an open market.,A man is wearing a red shirt shopping.,2,A man in a green shirt cannot be described as wearing a red shirt.,The shirt is either red or green.
Marching band standing in a public area.,A band is standing outside,0,A marching band typically performs outside in public areas.,"Marching band is a type of band, and public area implies outside."
A group of girls is sitting in the dance studio.,Several girls are in a room.,0,The girls sitting in the dance studio are indeed in a room.,The girls are in a room because they are in a dance studio.
A man with tattoos is lounging on a couch holding a pencil.,the man is standing near a tree,2,A man lounging on a couch with a pencil is not necessarily standing near a tree.,"If one is lounging, they are not standing."
Young boy in blue jacket learns to ride a skateboard.,Nobody has a jacket.,2,"The premise states that a young boy is wearing a blue jacket, which directly contradicts the claim that nobody has a jacket.","If the young boy is in a blue jacket, it is impossible that nobody has a jacket."
A young African boy sits perched on a gate post next to a stop sign.,The boy here is from Nigeria.,1,"The premise describes a young African boy, but it does not specify his nationality, leaving open the possibility that he could be from Nigeria or another African country.",Not all African boys are from Nigeria.
"An elderly women is sitting and leaning against a wall, holding a photo and a plastic glass.",An old lady begs for money.,1,An elderly woman sitting and holding a photo and a plastic glass may be in a situation where she could be asking for assistance.,Does not mention the glass is for money
"A group of black boys in a classroom setting wearing white shirts, listening to a speech about UNICEF.",The boys are at the racetrack and placing bets.,2,"The boys are engaged in a structured educational environment, which is inconsistent with the idea of being at a racetrack placing bets.",A racetrack is not a classroom.
"A child in a blue shirt, with a hat, trying to climb a fence.",A child tries to escape a pursuing dog by climbing a fence.,1,"A child climbing a fence could be attempting to escape from something, such as a dog.",The fact that a child trying to climb a fence doesn't imply that the child tries to escape a pursuing dog.
A man sits on the floor as he is creating a colorful picture next to him.,A man sits on the floor and colors his coloring book,1,A man creating a colorful picture could be using a coloring book as part of his artistic process.,A colorful picture isn't only in a coloring book.
A pitcher from a Houston baseball team is mid-throw.,In houston a professional pitcher warms up his arm.,1,A pitcher mid-throw is likely engaged in a warm-up routine to prepare his arm for the game.,You can not infer he is a professional.
A fluffy black and gray dog in the grass.,The dog is outside.,0,The presence of the dog in the grass suggests that it is in an outdoor environment.,The dog is outside refers to a fluffy black and gray dog
A toddler in blue clothes is balancing on a rock.,A toddler balances on a rock.,0,A toddler balancing on a rock is described in both the premise and the hypothesis.,Toddler is a less specific description of toddler in blue clothes.
A girl runs down a beach.,The girl is on the beach.,0,The girl is physically present on the beach while she runs.,a girl will be on the beach while she runs down it.
Some people are paddling in an air filled raft.,people paddling a raft,0,"Some people are paddling in an air filled raft, indicating that they are engaged in the activity of paddling a raft.",An air filled raft is more specific than just a raft
An Asian taking a call in his office cubicle.,The Asian man is talking on the phone while sitting at his desk.,1,An Asian man is engaged in a phone conversation while seated at his office desk.,You can not assume he is sitting at his desk when he takes a call in his office cubicle.
A mountaineer sits in the snow in front of a yellow tent under clear blue sky.,a guy has a blue tent.,2,"The premise describes a mountaineer in front of a yellow tent, while the hypothesis incorrectly states that the tent is blue.",The tent is either yellow or blue.
A mother and her two kids being pushed in a taxi by a man.,A taximan is doing his job.,0,"The man pushing the taxi is likely providing transportation services, which aligns with the role of a taximan.",A taximan pushed a mother and her two kids.
The man is waterskiing.,A man is being pulled by a jet ski.,1,"The man waterskiing could be pulled by a jet ski, as this is a common method for the sport.",A man might not be the man who is waterskiing since a man is being pulled by a jet ski.
A bmx biker is in midair attempting a trick.,A person is riding a bmx bike,0,A bmx biker performing a trick is indeed riding a bmx bike while in midair.,"To do a trick on a bike, one must ride a bike."
"One man in a uniform standing inside a school bus with the backdoor open, while another man sits on top of the boss wearing a similar uniform.",A uniformed man is standing inside a school bus.,0,One man in a uniform is indeed standing inside a school bus.,The uniformed main standing inside a school bus with backdoor open.
Standing in a kitchen a young woman wearing a black peasant blouse and holding a plastic fork between her teeth shows the camera a ladle in her right hand and a bowl in her left hand.,A woman makes a silly face when her husband takes a picture of her while she makes dinner.,1,"The young woman is holding a ladle and a bowl, suggesting she is engaged in cooking, which aligns with the context of making dinner.","The woman does not necessarily make a silly face, there isn't necessarily any husband anywhere, the husband is not necessarily taking a picture of her, and she is not necessarily making dinner."
A man in a black hat walks down the street.,The man is sleeping.,2,A man walking down the street is likely to be awake and active.,One cannot be sleeping while he walks.
"An adult in brightly colored clothing and hat, is weaving or beading while sitting on brightly colored rugs.",A young child playing on a bright rug.,2,"An adult in brightly colored clothing is sitting on a bright rug, which could suggest a playful environment where a young child might also be playing.",Child and adult are of different age. Playing is a different activity than weaving or beading.
"A disheveled man is playing an accordion, asking for tips in a suitcase, while sitting by the water.",a disheveled man plays an accordion with a suitcase open for tips in front of him,0,"The disheveled man is playing an accordion while sitting by the water, and he has a suitcase open for tips in front of him.",Both sentences are about a man trying to get tips for playing his accordion.  The first sentence gives his location.
Man in bright yellow vest displays bicycle safety information on street.,The men are crossing guards.,1,"The man in the bright yellow vest is likely ensuring the safety of cyclists, similar to how crossing guards help pedestrians.",man displaying safety information does not imply men are crossing guards.
"A man with a sign in front of him that reads ""Deleon"" sits at a microphone.",A man is talking into a microphone.,1,The man sitting at the microphone may be preparing to speak or address an audience.,reading something at a microphone doesn't always mean talking into a microphone.
A man in a colorful yellow and green garment stretches out his right arm while standing near a plate of glass embedded into the ground.,The man is wearing all black.,2,"The man is described as wearing a colorful yellow and green garment, which directly contradicts the claim that he is wearing all black.",Black is not colorful
Two woman point at a mirror that is curved like a ball.,Two women wearing dresses point at a spherical mirror.,1,"The premise describes two women pointing at a mirror, which is consistent with the hypothesis that specifies they are pointing at a spherical mirror.",Two woman pointing at a mirror doesn't mean they are wearing dresses.
The shadows of trees are projected onto the field by the sun.,The moon light is shining down.,2,"The presence of shadows on the field indicates that the sun is shining, which does not imply that the moonlight is also shining down.",There can be no moonlight when the sun is shining.
A man is walking three small dogs past a whimsical mural.,A man is walking his dogs.,0,A man walking three small dogs indicates that he is indeed walking his dogs.,A man walking three small dogs is the same as a man walking his dogs.
"Three women talking and laughing, while 2 hold glasses of wine.",A group enjoying a drink.,0,"The women are enjoying their time together while holding glasses of wine, indicating they are partaking in a social drink.","Three women form of a group, and talking and laughing with glasses or wine shows they are enjoying drink"
A toddler wearing white and pink is playing a game in the floor.,The toddler is wearing bright colors.,0,"The toddler's outfit includes white and pink, which are considered bright colors.",White and pink are types of colors and pink is a bright color.
A climber scales a cliff as others watch.,The climber is fast asleep in his own bed.,2,A climber actively scaling a cliff suggests he is engaged in an outdoor activity rather than being at home in bed.,The climber cannot be asleep while he scales a cliff as he would need to be awake to do that.
A black poodle with a rope toy in its mouth.,A pet with a dog toy in its mouth.,0,A black poodle is a type of pet that can hold a dog toy in its mouth.,black poodle is a pet rope toy is dog toy
man wearing gray jacket watching family at worship.,Man is watching football on a Sunday.,2,"The man is focused on a family gathering, which is different from watching a football game.",either the man is at worship or watching football
A blond-haired man with glasses wears a makeshift cape while pointing up.,The man is naked underwater.,2,"A man wearing a makeshift cape and glasses is unlikely to be underwater, especially if he is pointing up.",Wears a makeshift cape is impossible if the man is naked.
There is a blond female office and a male brown headed officer standing in front of a pole talking.,The two officers are putting a suspect in their squad car.,2,"The premise describes two officers engaged in conversation, but it does not provide any information about their actions regarding a suspect or a squad car.",Talking and putting a suspect are different.
An old lady wearing a hat and smiling.,The woman is wearing a sombrero and smiling.,1,"The premise describes an old lady wearing a hat, but it does not specify the type of hat, leaving room for interpretation about the specific style of hat she is wearing.",It cannot be inferred that the hat is a sombrero.
Children swinging on a blue swing in the park.,Children on a school field trip,1,"Children can be in a park for various reasons, including being on a school field trip.",A school field trip is not the only time when children can go swinging on a swing in a park.
A small dog and a large dog with a rope in its mouth.,Two dogs are playing outside.,1,"The presence of two dogs, one small and one large, suggests they could be engaging in playful behavior with the rope.",They are not shown to be playing.
A young girl wearing a white jumper drinks from a straw while other girls congregate behind her.,A young girl drinks cement.,2,A young girl drinking from a straw does not imply she is drinking cement.,The girl can't drink cement from a straw.  One can't drink cement.
A Norfolk Race car with flames on the hood.,The race car is on fire.,1,The presence of flames on the hood of the race car suggests a potential fire hazard.,That race car with flames on the hood does not imply the car is on fire.
A brown dog is jumping on top of a smaller white dog and there is a colorful ball on the floor.,a dog jumps on another dog by a ball,0,A brown dog is jumping on a smaller dog near a colorful ball.,THEY ARE USING THE BALL.
A group of blond young women sit outside a Star Bucks.,A group of women sit outside.,0,A group of blond young women is included in the broader category of women sitting outside.,"""young women sit outside"" is inferred as ""women sit outside"""
Several surfers ride a wave approaching the beach.,Surfers catch the wave.,0,Surfers riding a wave are actively engaging with the wave as it approaches the beach.,several surfers is shortened to just surfers.
An older man wearing shorts and t-shirt pushes a baby stroller as he walks in front of two women wearing hats.,A man pushes a stroller with a baby chimp in it.,2,"The premise describes a man pushing a stroller, but it does not specify the type of baby in the stroller.","The baby in the stroller is human, not a chimp."
A bald man with a beard plays the accordion in front of green doors,A man with a beard chops down a tree.,2,A bald man with a beard playing the accordion does not imply that he is chopping down a tree.,"If he chops down a tree, he could not also play the accordion at the same time because accordions are held in front of the torso of the musician, which would get in the way of wielding an axe."
Three women wearing white gowns are dancing.,"Dressed white, women are dancing.",0,"Three women in white gowns are indeed dancing, which aligns with the description of women dressed in white who are engaged in dancing.",The women are wearing white and dancing.
2 women dancing on a stage dressed in costumes.,Two women dancing on a stage outside as others join in.,1,"The premise describes two women dancing on a stage, while the hypothesis suggests that they are dancing outside and others are joining in, indicating a broader context of the performance.",There is no mention of the stage being outside or that others join in.
"Girl in pink sweater, playing with a doll.",a girl playing with her birthday present,1,A girl playing with a doll could be receiving it as a birthday present.,WE CAN'T KNOW IF THE DOLL IS HER BIRTHDAY PRESENT.
A little Asian girl holds two trophies.,Asian girl won competition,1,The presence of two trophies suggests that the Asian girl has achieved success in a competition.,Not all little girls are Asian.
A group of men cleaning a floor.,a group of men are playing guitars,2,A group of men cleaning a floor does not imply that they are engaged in playing guitars.,The men cannot simultaneously be cleaning and playing guitars
Two people are standing in a room one of whom is smoking the shots are of the back of the foreground person.,Two people are in a room sitting.,2,"The premise states that two people are standing in a room, while the hypothesis claims they are sitting, which presents a discrepancy in their positions.",Two people cannot be standing and sitting at the same time.
Several people are running a race next to a vineyard.,Several people are racing up Pike's Peak.,2,"The premise describes a race taking place, but it does not specify the location or the nature of the race, making it unclear if it is related to Pike's Peak.",Several people running a race next to a vineyard in no way denotes of them racing up Pike's Peak.
A man dressed in orange looks like he is playing an instrument.,The woman is singing,2,A man playing an instrument does not imply that a woman is singing.,There is either a man or a woman.
A man is holding a video camera.,the man is using technology,1,A man holding a video camera is engaging with a device that utilizes technology for recording.,Holding the camera isn't necessarily using the camera.
Celebrating St. Patrick's Day at 2:10 pm& an police officer is going inside a room.,On St. Patrick's Day a police officer is inside.,0,A police officer entering a room on St. Patrick's Day suggests that the officer is present inside the room during the celebration.,Inside is a restatement of inside a room.
A woman next to a subway entrance in a tan coat is asking a woman in a pink coat directions.,The woman in tan questions the woman in pink,0,The woman in tan is seeking information from the woman in pink.,the woman can be wearing a tan coat
A woman is reaching for something in her bag as they stand in front of a food stand.,A woman is buying food.,1,The woman reaching into her bag at the food stand suggests she may be preparing to purchase food.,She may not be buying food
